sparql,owl
"SELECT ?s WHERE { <http://dbpedia.org/resource/Kovrov> a ?s } ","ObjectProperty: http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse 
   inverseOf http://www.w3.org/1999/02/22-rdf-syntax-ns#type
(Thing THAT (http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse SOME http://dbpedia.org/resource/Kovrov))"
"SELECT ?county WHERE { ?county <http://www.w3.org/2004/02/skos/core#subject> <http://dbpedia.org/resource/Category:Cities_in_Texas> ; <http://www.w3.org/2004/02/skos/core#subject> <http://dbpedia.org/resource/Category:County_seats_in_Texas> } ","(Thing THAT ( http://www.w3.org/2004/02/skos/core#subject SOME http://dbpedia.org/resource/Category:Cities_in_Texas )) AND (Thing THAT ( http://www.w3.org/2004/02/skos/core#subject SOME http://dbpedia.org/resource/Category:County_seats_in_Texas ))"
"SELECT * WHERE { ?s1 <http://www.w3.org/2004/02/skos/core#broader> <http://dbpedia.org/resource/Category:Animals> . ?s3 <http://www.w3.org/2004/02/skos/core#broader> ?s1 . ?s4 <http://www.w3.org/2004/02/skos/core#broader> ?s3 } ","ObjectProperty: http://www.w3.org/2004/02/skos/core#broaderInverse 
   inverseOf http://www.w3.org/2004/02/skos/core#broader
(Thing THAT ( http://www.w3.org/2004/02/skos/core#broader SOME http://dbpedia.org/resource/Category:Animals )) AND (Thing THAT (http://www.w3.org/2004/02/skos/core#broaderInverse SOME Thing))"
"SELECT * WHERE { ?id a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/property/label> ?ft ; <http://dbpedia.org/ontology/imdbId> ?imdb_id } ","(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Film )) AND (Thing THAT ( http://dbpedia.org/property/label SOME Thing )) AND (Thing THAT ( http://dbpedia.org/ontology/imdbId SOME Thing_id ))"
"SELECT ?a ?b ?c WHERE { <http://dbpedia.org/resource/Peugeot> ?b ?c . ?a <http://xmlns.com/foaf/0.1/name> "Peugeot S.A."@en } ","(Thing THAT ( http://xmlns.com/foaf/0.1/name SOME "Peugeot S.A."@en ))"
"SELECT ?s WHERE { <http://dbpedia.org/resource/Petukhovo> a ?s } ","ObjectProperty: http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse 
   inverseOf http://www.w3.org/1999/02/22-rdf-syntax-ns#type
(Thing THAT (http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse SOME http://dbpedia.org/resource/Petukhovo))"
"SELECT ?s WHERE { <http://dbpedia.org/resource/Pavlovo%2C_Nizhny_Novgorod_Oblast> a ?s } ","ObjectProperty: http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse 
   inverseOf http://www.w3.org/1999/02/22-rdf-syntax-ns#type
(Thing THAT (http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse SOME http://dbpedia.org/resource/Pavlovo%2C_Nizhny_Novgorod_Oblast))"
"SELECT ?x ?a ?b WHERE { ?x <http://www.georss.org/georss/point> ?z ; a <http://dbpedia.org/ontology/Place> ; ?a ?b } ","(Thing THAT ( http://www.georss.org/georss/point SOME Thing )) AND (Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Place )) AND (Thing THAT (topProperty SOME Thing))"
"SELECT ?actors WHERE { ?actors a <http://dbpedia.org/ontology/Actor> } ","(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Actor ))"
"SELECT ?s ?Concept WHERE { ?s a ?Concept } ","(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME Thing ))"
